Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,6313.127930,6317.013184,6263.675781,6283.581055,6283.581055,33043700
2020-01-03,6306.187012,6323.465820,6287.706055,6323.465820,6323.465820,44625300
2020-01-06,6293.499023,6300.436035,6252.634766,6257.402832,6257.402832,41421300
2020-01-07,6272.220215,6284.892090,6246.128906,6279.346191,6279.346191,39441600
2020-01-08,6248.442871,6250.122070,6218.129883,6225.686035,6225.686035,44622600
2020-01-09,6248.661133,6274.493164,6238.982910,6274.493164,6274.493164,41868400
2020-01-10,6287.166992,6295.370117,6271.979980,6274.940918,6274.940918,52213500
2020-01-13,6287.912109,6297.775879,6269.480957,6296.566895,6296.566895,44003800
2020-01-14,6308.890137,6325.405762,6298.607910,6325.405762,6325.405762,44467400
2020-01-15,6326.166016,6348.525879,6255.498047,6283.365234,6283.365234,51089200
2020-01-16,6275.956055,6299.541016,6255.493164,6286.047852,6286.047852,42118300
2020-01-17,6293.782227,6301.484863,6266.932129,6291.657227,6291.657227,37597900
2020-01-20,6310.500977,6312.988770,6240.189941,6245.042969,6245.042969,38818200
2020-01-21,6251.997070,6257.884766,6226.063965,6238.152832,6238.152832,41929600
2020-01-22,6241.575195,6265.514160,6223.189941,6233.453125,6233.453125,51077800
2020-01-23,6243.998047,6255.042969,6229.130859,6249.209961,6249.209961,41256500
2020-01-24,6242.834961,6258.851074,6234.825195,6244.108887,6244.108887,38828900
2020-01-27,6240.817871,6242.176758,6130.928223,6133.208008,6133.208008,43723000
2020-01-28,6111.184082,6111.184082,6111.184082,6111.184082,6111.184082,0
2020-01-29,6123.095215,6152.588867,6102.795898,6113.044922,6113.044922,34605300
2020-01-30,6057.596191,6057.596191,6057.596191,6057.596191,6057.596191,0
2020-01-31,6076.458984,6078.930176,5937.021973,5940.047852,5940.047852,41508700
2020-02-03,5920.967773,5942.782227,5877.201172,5884.169922,5884.169922,34951000
2020-02-04,5947.506836,5952.946777,5911.375000,5922.338867,5922.338867,36217700
2020-02-05,5955.519043,5978.509766,5924.374023,5978.509766,5978.509766,39786600
2020-02-06,6002.919922,6013.699219,5969.484863,5987.145020,5987.145020,39909700
2020-02-07,5988.058105,6004.812012,5981.644043,5999.606934,5999.606934,35281700
2020-02-10,5993.376953,5996.465820,5937.380859,5952.083008,5952.083008,34305400
2020-02-11,5974.000000,5975.160156,5946.220215,5954.396973,5954.396973,33700000
2020-02-12,5957.060059,5962.347168,5895.724121,5913.081055,5913.081055,29256800
2020-02-13,5921.912109,5929.499023,5860.254883,5871.954102,5871.954102,33248200
2020-02-14,5857.721191,5890.028809,5843.432129,5866.944824,5866.944824,27655200
2020-02-17,5863.914063,5878.463867,5853.598145,5867.522949,5867.522949,28723300
2020-02-18,5856.880859,5907.139160,5855.924805,5886.961914,5886.961914,34641400
2020-02-19,5898.899902,5928.791016,5898.701172,5928.791016,5928.791016,34517800
2020-02-20,5941.450195,5960.712891,5929.145020,5942.486816,5942.486816,37350100
2020-02-21,5940.785156,5944.205078,5873.731934,5882.254883,5882.254883,36665400
2020-02-24,5846.145996,5863.124023,5787.919922,5807.049805,5807.049805,40039600
2020-02-25,5784.736816,5814.679199,5752.334961,5787.138184,5787.138184,39502600
2020-02-26,5757.166992,5757.740234,5688.920898,5688.920898,5688.920898,39521300
2020-02-27,5680.437012,5684.286133,5526.816895,5535.693848,5535.693848,41308700
2020-02-28,5436.171875,5456.275879,5288.370117,5452.704102,5452.704102,49636800
2020-03-02,5455.045898,5491.134766,5354.620117,5361.246094,5361.246094,40235000
2020-03-03,5431.295898,5545.773926,5431.295898,5518.627930,5518.627930,42974300
2020-03-04,5524.094238,5651.854980,5516.805176,5650.136230,5650.136230,45255400
2020-03-05,5688.778809,5715.940918,5613.719238,5638.129883,5638.129883,40684000
2020-03-06,5575.565918,5577.801758,5498.540039,5498.540039,5498.540039,32430900
2020-03-09,5364.604004,5364.604004,5133.150879,5136.809082,5136.809082,42737600
2020-03-10,5149.493164,5278.422852,5149.452148,5220.826172,5220.826172,44495700
2020-03-11,5231.608887,5264.479980,5112.318848,5154.104980,5154.104980,46650100
2020-03-12,5040.964844,5040.987793,4895.748047,4895.748047,4895.748047,36992900
2020-03-13,4895.748047,4937.993164,4639.914063,4907.570801,4907.570801,46288600
2020-03-16,4907.570801,4907.570801,4677.750000,4690.657227,4690.657227,30471900
2020-03-17,4690.657227,4698.043945,4447.956055,4456.749023,4456.749023,30662200
2020-03-18,4456.749023,4473.824219,4284.674805,4330.673828,4330.673828,38642900
2020-03-19,4330.673828,4330.673828,4093.714111,4105.421875,4105.421875,26383700
